1;Sem o efeito estufa, a temperatura média da Terra seria muito mais baixa, inviabilizando a vida como a conhecemos.;2;V;M
2;O efeito estufa é um fenômeno natural que retém parte do calor solar na atmosfera terrestre.;2;V;F
3;Os gases de efeito estufa são liberados exclusivamente por atividades humanas.;2;F;F
4;O aumento descontrolado do efeito estufa pode levar ao aquecimento global.;2;V;F
5;O derretimento das calotas polares é uma das consequências diretas do aquecimento global.;2;V;F
6;O efeito estufa é um fenômeno natural essencial para a manutenção da vida na Terra.;2;V;F
7;A queima de combustíveis fósseis contribui para o aumento da concentração de gases de efeito estufa na atmosfera.;2;V;M
8;O aquecimento global é causado exclusivamente por fatores naturais, sem influência das atividades humanas.;2;F;M
9;A principal causa do aumento do efeito estufa é a diminuição da concentração de dióxido de carbono na atmosfera.;2;F;D
10;As mudanças climáticas englobam apenas as alterações de temperatura, sem considerar outros fatores ambientais.;2;F;M
11;Os gases de efeito estufa podem ser comparados a isolantes, pois absorvem parte da energia irradiada pela Terra.;2;V;D
12;Uma das consequências do efeito estufa é a mudança nos ciclos reprodutivos das plantas.;2;V;M
13;Um dos principais gases gerados pelo efeito estufa é o Metano (CH4).;2;V;M
14;Reduzir o consumo de carne bovina e suína contribui para diminuir o efeito estufa.;2;V;M
15;O processo de fotossíntese das plantas contribui para o aquecimento global.;2;V;F
16;Aumentar a quantidade de matéria orgânica no solo minimiza o efeito estufa.;2;V;F
17;Inundações em cidades costeiras, como Santos, é uma provável consequência do efeito estufa no Brasil.;2;V;M
18;A remoção da vegetação nativa em áreas rurais diminui os processos que causam o efeito estufa.;2;F;F
19;O aumento das temperaturas registradas na superfície terrestre é o principal problema desencadeado pelo efeito estufa.;2;V;F
20;A destruição da camada de ozônio é chamada de efeito estufa.;2;F;F
21;Com o efeito estufa, a segurança alimentar não será afetada, pois não haverá a escassez de recursos naturais.;2;F;F
22;Praticar a coletiva seletiva evitaria a formação de lixões para que os gases gerados na compostagem não sejam liberados para a atmosfera.;2;F;M
23;Em relação ao efeito estufa, as hidrelétricas podem ser poluidoras, colaborando com níveis altos de gases de efeito estufa em função de seu potencial de oferta.;2;V;D
24;O aumento da concentração de gases de efeito estufa intensifica o aquecimento global ao dificultar a dissipação do calor irradiado pela superfície terrestre para o espaço.;2;V;D
25;O gás metano (CH₄) tem impacto insignificante no efeito estufa, sendo considerado irrelevante em comparação ao dióxido de carbono (CO₂).;2;F;D
26;O metano (CH₄), embora permaneça menos tempo na atmosfera que o CO₂, possui um potencial de aquecimento dezena dezenas de vezes maior, sendo considerado um gás crítico de curto prazo.;2;V;M
27;A COP, Conferência das Partes, foi criada no âmbito da Convenção-Quadro da ONU sobre Mudança do Clima, assinada na Rio-92, com o objetivo de negociar ações globais contra o aquecimento global.;2;V;D
28;A eliminação total do vapor d’água da atmosfera é considerada a principal estratégia discutida nas COPs para reduzir o efeito estufa.;2;F;F
29;O Acordo de Paris, firmado na COP21, obriga legalmente todos os países signatários a reduzir suas emissões de carbono em 50% até 2030.;2;F;D
30;A agricultura e a pecuária não contribuem com emissões relevantes de gases de efeito estufa.;2;F;F
31;O setor de transportes é um dos principais emissores de CO₂, especialmente em países com alta taxa de motorização e uso de combustíveis fósseis.;2;V;F
32;A compensação de carbono por meio de créditos florestais é uma estratégia aceita em acordos climáticos, mas enfrenta críticas quanto à sua eficácia real.;2;V;M
33;O setor de energia é responsável por mais de 70% das emissões globais de gases de efeito estufa, segundo dados do IPCC.;2;V;M
34;A COP trata apenas de acordos técnicos entre governos e não permite a participação de cientistas, organizações civis e povos indígenas.;2;F;F
35;O Acordo de Paris determina que os países signatários devem zerar todas as emissões de gases de efeito estufa até 2030, sem exceções;2;F;F
36;Os relatórios do IPCC são considerados os documentos científicos mais relevantes nas negociações climáticas internacionais.;2;V;M
37;Em 2024, a temperatura média global ultrapassou pela primeira vez o limite de 1,5 °C de aquecimento em relação aos níveis pré-industriais, conforme dados da agência Copernicus.;2;V;D
38;Países africanos são os maiores emissores de gases de efeito estufa devido ao uso intensivo de carvão mineral.;2;F;F
39;A Noruega gera quase toda a sua eletricidade a partir de fontes renováveis, principalmente hidrelétricas, sendo considerada uma referência em energia limpa.;2;V;M
40;A principal meta da COP30 será eliminar completamente o uso de energia solar e eólica até 2040, por serem fontes instáveis e de baixa eficiência.;2;F;F
